nieuwe straatnaam,oude straatnamen
Erasmuslaan,Gillonlaan
Etienne Sabbelaan,Sint-Cornelisweg
Etienne Sabbelaan,Stijn Streuvelslaan 
Evarist Carpentierlaan,
Fabriekskaai,Bisseghemstraete 
Fabriekskaai,Couckuitspoort
Ferdinand Van Eeckhoutstr.,
Filips van de Elzaslaan,
Firmin Deprezlaan,
Frans Kusterslaan,
Frans Vanderlindenlaan,
Fr. Van den Berghewandeling,
Frascatilaan,
Garenstraat,Schuylweg
Garenstraat,Korte Vlasbloemstraat
Gasstraat,
Gentkaai,Gentsche Caye ofte aert van de Leye 
Gentkaai,Gentsche Caye 
Gentkaai,Ghendtsche Caeye 
Gentkaai,Broelkaai
Gentsesteenweg,Heirstratedt 
Gentsesteenweg,Steenweg 
Gentsesteenweg,Gendsche Kalsyde 
Gentsesteenweg,Gentsteenweg 
Gentsesteenweg,voorheen Kortrijksestraat 
Gentsestraat,
Gentsestraat,Gentstraat 
George Minnelaan,Baron Joris Minnelaan
Gerstelaan,
Godfried Devreeselaan,Godefroid Devreeselaan 
Goedendaglaan,
Goed ter Linden,
Gouden-Rivierlaan,Gouden Rivierlaan Kuurne
Graaf Boudewijn IX-laan,Boudewijn IX-laan 
Graaf de Smet de Naeyerlaan,Noordlaande Smet de Naeyerlaan 
Graaf Gewijde van Namenstraat ,Guido Van Namenstraat  Guido Van Namenlaan
Graaf Karel de Goedelaan,Dreve 
Graaf Karel de Goedelaan,Karel de Goedelaan 
Graanmarkt,Korenmarkt 
Graanmarkt,Coernemaerct 
Graanmarkt,Coornemaerct 
Graanmarkt,Coorenmarkt 
Gravin Beatrijslaan,Beatrijslaan 
Greenvillelaan,
Grijze-Zustersstraat,Wijngaertstrat 
Grijze-Zustersstraat,Twijngaertstraetkin
Grijze-Zustersstraat,Oude Wingaertstraete 
Grijze-Zustersstraat,Susterhuysstraeten des Soeurs 
Grijze-Zustersstraat,Zusterstraat 
Grijze-Zustersstraat,Zusterhuisstraat 
Groeningebeluik,
Groeningekaai,
Groeningelaan,Boulevard de Gand à l'exterieur
Groeningepoort,Antoon Goethalslaan 
Groeningepoort,Burgemeester Goethalslaan 
Groeningepoort,Groeningepoort 
Groeningestraat ,in vico Canonicorum 
Groeningestraat ,Canuencstraete 
Groeningestraat ,Groeninghestraete 
Groeningestraat , de l'imperatrice 
Groeningestraat ,O.-L.-Vrouwestraat deel
Grote Kring,Crync 
Grote Kring,Kring 
Grote Markt,Tussen de Lakenhalle en de St. Maartenskerk de Oude Marct 
Grote Markt,Marct of Maerct 
Grote Markt,Grand Place 
Grote Markt,Place Napoléon 
Grote Markt,Place 
Gruzenbergstraat,
Guido Gezellepad,
Guido Gezellestraat, Lombaerde 
Guido Gezellestraat, du Mont de Piète 
Guido Gezellestraat," du lombard, Bergstraat "
Guido Gezellewandeling,
Guldensporenlaan,Oudenaerdsche Heirweg 
Gustaaf Desmetlaan,
Gustaaf Vande Woestijnelaan,
Hadewijchlaan,
Hagedissenstraat,Agedissentraetjen 
Halenplein,
Handboogstraat,Groten straten van den Ouden Casteele 
Handboogstraat,Conventstraete 
Handboogstraat,het houchuus van de Conventstraete 
Handboogstraat,De Oude Casteelstraete 
Handboogstraat,Cannezyewaert 
Handboogstraat,Oude pelderinstraete 
Handboogstraat,Wereltstraetkin 
Handboogstraat,Fonteynstraete of Potterstraete 
Handboogstraat,Fonteijnstraete 
Handelskaai,Koophandelskaai 
Handelskaai,Oversteek 
Harelbeeksestraat,Harelbekestraat 
Havenkaai,
Havermarkt,een deel wordt Schouwburgplein 
Hazelaarstraat,Hazelaerstrate 
Heilige Geeststraat,Nouvelle  
Heilige Geeststraat, St.-Esprit 
Heirweg,Heirstrate naer Brugge 
Heirweg,Brugschenheirweg 
Hendrik Beyaertstraat,Vredestraat 
Hendrik Beyaertstraat,Henri Beyaertstraat 
Hendrik Consciencestraat,Straete van Bortryck naer Rijssel 
Hendrik Consciencestraat,Rysselschen Wyck 
Hendrik Consciencestraat,Consciencestraat 
Hengelaarsstraat,
Herdersstraat,Carriere of Carriereweg 
Herdersstraat,Wandelweg of Chemin de Ronde 
Herdersstraat,Hellestraat 
Herdersstraat,Herderstraat 
Heulebeekstraat,
Hippodroomstraat,
Hoevestraat,Boerderijstraat 
Hof te Walle,
Hoog Mosscher,Het Mosscherstraetkin 
Hoog Mosscher,Dohier de Haute Moscre 
Hoog Mosscher,Goede vanHoeschmosschere 
Hoog Mosscher,Sint - Annaweg 
Hoog Mosscher,Hoog Mosscherdreef 
Hoppad,
Hopstraat,
Hortensialaan,
Houtmarkt,Bordeelstraetkin 
Houtmarkt,Cordelierstraetkin 
Houtmarkt,Bolengierstraetkin 
Houtmarkt,Houtmarct en Beestemarct 
Hoveniersstraat,Ommegangstraat 
Hoveniersstraat,Schuylweg 
Hugo Verriestlaan,
Hyacintenlaan,
Iepersestraat,Iperstraete 
Iepersestraat,Staete van Harelbeke naer Ypren 
Iepersestraat,Oude Yperstraet  of voetweg  
Iepersestraat,Yperweg 
Iepersestraat,Ieperstraat
Ijzerfrontlaan,Oudstrijderslaan 
Ijzerkaai,
Invalidenlaan,
Izegemsestraat,Bruxschen Wech 
Izegemsestraat,Herstrate alsoe men gaet te Yseghem waert 
Izegemsestraat,Herstraete naer Brugghe of Tolstraete 
Izegemsestraat,Iseghemstraete 
Izegemsestraat,Straete van Cortryck naer Brugghe 
Izegemsestraat,Straete van Cortryck naer Yseghem of d'Oude herbane naer Brugge 
Izegemsestraat,Straete van Cortryck naer Heule Waeter-meulens 
Izegemsestraat,Roockerstraete leendende van Cortryck naer Iseghem 
Izegemsestraat,WatermolenstraeteIseghemstraet 
Jakob van Arteveldelaan,Van Arteveldestraat 
Jakob Vandervaetstraat 1981,voorheen Herdersstraat 
Jakob van Maerlantstraat,Van Maerlantstraat 
Jan-Baptist De Jonghestraat,Dejonghestraat 
Jan Bethunehof,
Jan Breydellaan,
Jan Palfijnstraat,
Jan Persijnstraat,Pedersilstreatkin 
Jan Persijnstraat,Peterseliestraat 
Jan van Ruusbroeclaan,
Jan Sabbepad,
Jasmijnenlaan,
Jan Sabbestraat,
Jozef Berteelestraat,
Jozef De Coenewandeling,
Jozef Speybrouckwandeling,
Jozef Demeyerestraat,
Jozef Demeyerepad,
Johanna Amerlinckstraat,
Jozef Vandaleplein,Jozef Vandaleplaats 
Juweliersplein ,
Kaarsengietersstraat,Keersgieterstraat 
Kampstraat,Galgenwegen of   
Kanonstraat ,Klakkaertsstraet 
Kanonstraat ,Canonstraat 
Kapelstraat,Ultra Lysam iuxta vicum Capelle 
Kapelstraat,Capelstrate 
Kapelstraat,Proostyestraete 
Kapelstraat,Prostiestraete 
Kapelstraat,Capel ofte proostdiestratien 
Kapelstraat,Prosdiestraetjen 
Kapelstraat, dit Chapelle 
Kanunnik Maesstraat,
Kapel ter Bede,Meulenweg naer Harelbeke 
Kapel ter Bede,Molenweg en Gaeverweg of   
Kapel ter Bedehof,
Kapittelstraat,Serboenstraetkin 
Kapittelstraat,tcapittelstraetkin 
Kapittelstraat,Hoenderstraetkin 
Kapittelstraat,Capitelstraetien 
Kapucijnenstraat,Broelstraetkin 
Kapucijnenstraat,Broelstraetkin 
Kapucijnenstraat,Capucynenstraetken 
Kapucijnenstraat,Jan Palfijnstraat 
Karmelietenlaan,Carmelietenlaan 
Kastanjeboomlaan,
Kasteelkaai,Quai de Lille 
Kasteelkaai,Risselkaey 
Kasteelkaai,Nieuwe Kaai 
Kasteelstraat ,in vico figulorum 
Kasteelstraat ,Pottersstrate 
Kasteelstraat ,Pottersstraete 
Kasteelstraat ,Pottelstraete 
Kasteelstraat ,Pottelstraete
Kasteelstraat ,Casteelstraete 
Kasteelstraat ,Burchstraete 
Kasteelstraat ,Hooge Kasteelstraete 
Katteputstraat,Katteputweg
Keer der Kleine St-Jansstr.,
Keer der Vlamingenstraat ,dit de Keer 
Keer der Vlamingenstraat ,Tournante 
Kerkweg,
Klakkaardserf,
Klakkaardspad,
Klakkaardsplein,
Klakkaerds Reke,Klakkaards
Klakkaardsreke,
Klaverstraat,
Kleine Iepersestraat,
Kleine Leiestraat,Coreelstuck 
Kleine Leiestraat,Leiestraetkin 
Kleine Leiestraat,
Kleine Leiestraat,FortstraatSplete
Kleine Sint-Jansstraat,
Kleiputstraat,
Koeiekop,
Koestaartstraat,
Kollegestraat,Collegestraat 
Kongoweg,Congoweg 
Koning Albertpark,Leiepark 
Koning Albertpark,Albertparkstraat 
Koning Albertpark,Vuilniskaai 
Koning Albertstraat,Frankrijkstraat 
Koning Albertstraat,Albertstraat 
Koningin Elisabethlaan,Elisabethlaan 
Koningin Elisabethlaan,Elisabethtuin
Koninginnelaan,Koningin Astridlaan 
Koning Leopold III-laan),
Koning Leopold I-straat,Leopoldstraat 
Koning Leopold I-straat,Koning Leopoldstraat 
Konstant Permekelaan,Constant Permekelaan 
Konventstraat,Raedstrate 
Konventstraat,Conventstraete 
Konventstraat,Kloosterstraat 
Konventstraat,Conventstraat 
Koolkappersstraat,Koolkappersstraetje 
Korenbloemlaan,
Korte Kapucijnenstraat,Kapucijnenbeluik 
Korte Steenstraat,Corte Steenstraete 
Korte Steenstraat,Steenstraat
Kortrijk-Haven,
Kortrijksestraat,Heulestrate onder den esch 
Kortrijksestraat,Supra viam de Huele 
Kortrijksestraat,Straetkin alsoe men gaet te Huelewaert 
Kortrijksestraat,Rousselaerstraete 
Kortrijksestraat,Straete naer Heule 
Kortrijksestraat,Heulekalsijde of   
Kortrijksestraat,HeulesteenwegHeulsesteenweg 
Krysantenlaan,Chrysantenlaan 
Kuipersstraat,
Kunstsmedenlaan,
Kuurnsesteenweg,Curnestrate 
Kuurnsesteenweg,Cuernestraete 
Kuurnsesteenweg,Steenwegh van Cortryck naer Cuernebrugge 
Lange-Brugstraat,in vico Longi Pontis 
Lange-Brugstraat,in vico ultra Longum Pontem 
Lange-Brugstraat,in vico dicitur Lanbrugstrate 
Lange-Brugstraat,Langhebrucstrate 
Lange-Brugstraat,Lambrugstrate 
Lange-Brugstraat,Lambrechtstrate 
Lange-Brugstraat,Lambrechtstraete
Lange-Brugstraat,Lambrechtstraete 
Lange-Brugstraat,Lammerick 
Lange-Brugstraat,du Mouton 
Lange-Brugstraat,Schapenstraat 
Lange-Brugstraat,Lambrechtstraat 
Langemeersstraat,in vico dicto Langhemeere 
Langemeersstraat,Strate also men gaet ter Langhemeere waert 
Langemeersstraat,Straetken ten Holleme 
Langemeersstraat,Dollemstraet 
Langemeersstraat,Ollemstraetken
Langemeersstraat,Meulestraete 
Langemeersstraat,du Moulin 
Langemeersstraat,de l'Attelier de Charité 
Langemeersstraat,Vuilstraat 
Langemeersstraat,Molenstraat 
Lange Munteplein,
Lange Steenstraat,in vico dicto Steenstraet 
Lange Steenstraat,in vico Lapideo 
