nieuwe straatnaam,oude straatnamen
Sint-Niklaasstraat,St. - Niklaasstraetkin 
Sint-Niklaasstraat,Sente Nicolausstraetkin 
Sint-Rochuslaan,Gieregaardweg of  
Sint-Sebastiaanslaan,Sint-Sebastiaanlaan 
Sionlaan,Sioenweg of voetweg Sioenweg 
Sionlaan,Sionweg 
Sionstraat,Straetkin alsoo men gaet van de Steenpoorte ten Eveldriessche waert 
Sionstraat,Woormstraetje 
Sionstraat,Syoenstraetkin 
Sionstraat,Sioenstraetje 
Slachthuisstraat,
Smokkelpotstraat,Straetkin van de Leerberchboom naer de Populierbusschen 
Smokkelpotstraat,Smokkelpotstraete 
Smokkelpotstraat,Smokkelpotstraat of   
Smokkelpotstraat,Rollegemstraat 
Smokkelpotstraat,Rollegemsestraat 
Sparrenlaan,
Spinnerijkaai,Quai de la Filature 
Spoelberg,
Spoorbermstraat,Spoorwegstraat
Spoorweglaan,Le Rampar 
Spoorweglaan,Neveldriesch 
Spoorweglaan,Ijzerwegvesting of Boulevard du Chemin de Fer 
Spoorweglaan,Ijzerweglaan
Stasegemsesteenweg,Strate van Audenarde nar Corterijck 
Stasegemsesteenweg,De nieuwen herweg van Cortryck naer Audenaerde 
Stasegemsesteenweg,Oudenaerdseheirweg 
Stasegemsesteenweg,Stasegemstraat 
Stasegemsesteenweg,Stasegemsteenweg 
Stasegemsestraat,Oudenaertsche Strateherweg van Cortryck naer Oudenaerde 
Stasegemsestraat,"Oudenaerdscheheirweg , Chemin vinical l' Oudenaerde "
Stasegemsestraat,Stasegemstraat 
Stationsplein,Guldenspoorenplaats 
Stationsplein,Statieplaats 
Stationsstraat,Ijzerwegstraat 
Stationsstraat,Statiestraat 
Steenbakkersstraat,Zwijnstraat
Steenpoort,
Steenstratelaan,Steenstratelei 
Steyts Koer,Impasse Sleerin 
Steyts Koer,
Steytspad,
Stompaertshoek,Chompaertshouc 
Stompaertshoek,Stompaershoek
Stovestraat,Scherbaerdstraetkin 
Stovestraat,Stoefstraet 
Tapijtweversstraat,
Tarwelaan, behoorde vroeger toe tot de RoggestraatTarwestraat 
Tarweveld,"Pieter Bouvetstraat , Van Ghemmertstraat , Jan Mullemstraat ,Gambartstraat , Drukkersstraat , Blanchetstraat"
Tegelbakkerspad,
Tegelbakkersstraat,
Tekenaarslaan,
Ten Akkerdreef,Int Straetkin alsoe gaet ten Ackere waert 
Ten Akkerdreef,Rattekotweg of   
Ten Akkerdreef,Ten Ackeredreef 
Ten Houte,
Ten Houtedreef,Schaepdreve of   
Ten Houtedreef,Ten Houttedreef 
Terhagenstraat,
't Helleke,
Theodoor Sevenslaan,Zoutboerwegel of   
't Hoge,
Thomas Edisonlaan,
Tinnegietersstraat,
Toekomststraat,Doutrelignestraat
Tolstraat,Rijselpoortvesting 
Tolstraat,Tolstraat 
Tolstraat,Roeland Saverystraat 
Tolstraat,  
Touwslagerspad,Zie Touwslagersstraat
Touwslagersstraat,
Trakelweg,
Trompestraat,Trompestraetje 
Trompestraat,Trompetstraat' t Cleijn Broelstraetken 
Tuighuisstraat,Tuinwijkstraat 
Tuinstraat,Weduwenstraete
Tuinstraat,Weverstraete nu Thuynstraetje 
Tuinstraat,Thuynstraete 
Tuinstraat, de la Barrière 
Tulpenlaan,
Twaalfapostelenstraat,Coolmuelenstraetkin 
Twaalfapostelenstraat,Coolinnenstraetkin 
Twaalfapostelenstraat,Coelenmuelne 
Twaalfapostelenstraat,Coolenmuelne 
Twaalfapostelenstraat,Muelestraetken 
Twaalfapostelenstraat,Molenstraat 
Twaalfapostelenstraat,Nieuwe MolenstraatLe Douze 
Twaalfapostelenstraat,Twaalf  Apostelenstraat 
Universiteitslaan,
Vaartstraat,Oude Gentstraat  du Canal 
Valerius De Saedeleerlaan,
Van Ackers Hof,
Vandammebeluik,
Vannestes Reke,Cité Van Neste 
Veemarkt,
Veldstraat,Ommegangstraat
Velghes Poortje,
Vennestraat,Vennestraetken 
Vennestraat,Vennestratken 
Vennestraat,Vennestraete 
Vercruysses Poortje,Dobbelaers Koer
Verkorenhof,
Verplanckes Partje,
Verversstraat,
Verzetskaai,
Vestingsstraat,
Vierschaarstraat,
Violierenlaan,
Vismarkt,Ten Nieuwen Arde 
Vismarkt,De Nieuwen Aard 
Vismarkt,Vismarkt 
Vismarkt,Leyvischmerct 
Vismarkt,Marché au Poisson 
Vismarkt, Vieux Marché aux Poissons 
Visserskaai,
Vlaanderenkaai,
Vlaanderenstraat,
Vlamingenstraat,Op den Neveldriesch in de Vlamincstrate 
Vlamingenstraat,Groenen Bogaertstraete 
Vlamingenstraat,Vlamingstraat
Vlasbloemstraat),Schuylweg of   
Vlaskaai,
Vlaskouter,
Vlasmarkt,De Gaeremarct 
Vlierlaan,
Vogelzanglaan,AccacialaanAcacialaan 
Volksplein,Jozef  WoutersplaatsVolksplaats 
Volksv. De Jaegerelaan,Hofstedenstraat 
Volksv. De Jaegerelaan,Maurits De Jaegerelaan 
Volksv. Tahonstraat,
Voorstraat,In vico Harlebecensis 
Voorstraat,Harelbecstrate 
Voorstraat,Harelbekestraete 
Voorstraat,Oude Harelbeekstraete 
Voorstraat,Voorstraete 
Voorstraat, d' Austerlitz 
Vooruitgangsstraat,Vooruitgangstraat 
Voorzienigheidsstraat,Voorzienigheidstraat
Vredelaan),
Vuurkruiserslaan,Vuurkruisenlaan 
Wagenmakersstraat,Haegestraetje of   
Wagenmakersstraat,des Charrons
Walle,Ter Walle 
Walle,Rollegemse Kalsijde of   
Wallemolenstraat,
Walleweg,Knokstraat 
Wandelingstraat,Marktweg of  
Wandelweg,Allée des Soupirs 
Wandelweg,Parkstraat 
Waterleliestraat,
Watermolenstraat,Voetweg  
Waterpoort,Watterporte 
Watertorenhoek,
Watertorenpad,
Weggevoerdenlaan,Weggevoerdenlaan 
Weggevoerdenlaan,Prosper Pouletlaan 
Weversstraat,Vliederstrate 
Weversstraat,Vlienderstrate 
Weversstraat,Vlienderbecstraetkin 
Weversstraat,Vlienderstraetkin 
Weversstraat,  
Weversstraat,Weverstraat 
Wielewaallaan,
Wijngaardstraat,Bogaertstrate 
Wijngaardstraat,Wingaertstraete 
Wijngaardstraat,Hertestraete 
Wikingerhof,
Wilgenlaan,
Windsorlaan,
Wolvendreef,Wolvenstraat
Wolvenstraat, t Wulvenstratken 
Wolvenstraat,Blekerijweg of   
Zakske,In vico appellato Zac 
Zandbergstraat,
Zandstraat,Route vers Lille 
Zonneborg,
Zonnekeer,
Zonnekring,
Zonnelaan,
Zonnestraal,
Zonnewende,
Zwaluwenlaan,
Zwevegemsestraat,Strate alsoe men gaet te Zweveghemwaert 
Zwevegemsestraat,Zwevegemstrate buuten de Steenpoorte 
Zwevegemsestraat,Zwevegemstraat
Zwingelaarsstraat,
Aalbekekerkstraat,  
Aalbekekerkstraat,Leenvoetweg 
Aalbekekerkstraat,Kerkstraat 
Aalbekeplaats,Plaats 
Allartbosweg,Processiestraetjen 
Allartbosweg,Molenstraat  of   
Ant. Van Vlienderbekestraat,Vandenbulckensweg  of   
Ant. Van Vlienderbekestraat,Olmenstraat 
Ant. Van Vlienderbekestraat,Vlienderbekestraat 
Bergstraat,Straete loopende naar de Plaetse van Rolleghem 
Bijstert,Sparrenstraat
Blauwkasteelstraat,Bourbonstraat of   
Brechtendale,Esdoornstraat
Brumierstraat,Leiestraat 
Brumierstraat,Sinte Theresiaweg of   
Brumierstraat, ook opgenomen in deBrumierstraat
Burgemeester Margostraat,Potijzerstraat  of   
Burgemeester Margostraat,Margostraat 
Busschaertstraat,
Daalberg,Lindestraat
Doomanstraat,Dootmanstraet 
Doomanstraat,Doodmanstraet of  
Draaiweg,Berkenstraat
Fonteinmeers,Wilgenstraat 
Garenwinderstraat,
Kanariestraat ,
Kapelhoekstraat,Gistelstraet 
Kapelhoekstraat,Markestraat of Commerestraat 
Kapelhoekstraat,Kleine Lauwestraat of   
Kleine Lampestraat,
Knokstraat,Luignestraat
Kobbestraat,  
Krugerstraat,Marctweg 
Krugerstraat, Zilverbergweg - Armschoolweg - Korte Rye
Kruisboomstraat,Kalvarieweg of   
Kruisboomstraat,  
Lampestraat,Lerberchstraete 
Lampestraat,Strate van den Lerberchboom nar Leugne 
Lampestraat,CpelstraeteChemin allant de Cpelen 
Lampestraat,Creupelstraete 
Lampestraat,Sint -Annastraat 
Lampestraat, 
Lauwsestraat,Lauwestraat  of   
Ledeganckstraat,Processieweg 
Ledeganckstraat,  
Lijsterstraat,Processieweg 
Lijsterstraat,  
Lijsterstraat,Groeningestraat 
Lijsterstraat,Ledeganckstraat 
Luingnestraat,Schorbekestraete loopende van het schaminkel naer de kercke t'Aalbeke 
Luingnestraat,Straete van den Hoogmolen naer t'Schaminkel 
Luingnestraat,Straete loopende naer den Hooghen Molen 
Luingnestraat,Straete loopende van Cortryck naer Tourcoigne 
Luingnestraat,Tourcoingschestraete 
Luingnestraat, 
Malgrétoutstraat,Strate van Schaminkel nar den Dooman 
Malgrétoutstraat, 
Meibloemstraat,Nys's weg of  Meiweg
Moeskroensesteenweg,Straete van Aelbeke naer Tourcoingne 
Moeskroensesteenweg, de Courtrai à Tourcoing 
Moeskroensesteenweg,Kortrijkstraat 
Moeskroensesteenweg,Kortrijkstraat 
Moeskroensesteenweg, - Plaats - Karel Hoflackstraat 
Moeskroensesteenweg, - Torkonjestraat 
Nachtegaalstraat,Meerschweg of  
Ommegangstraat,Koning Leopold III - Straat 
Oudstrijderslaan,
Papeyedreef ,
Papeyeweg, 
Piro Lannoostraat,Brouckstraetken 
Piro Lannoostraat,Tombrouckstraat  of   
Preisbergstraat,Preshoekstraat of   
Risquons-Toutstraat,Rijselsesteenweg 
Risquons-Toutstraat,Gentsesteenweg
Scheermolenerf,
Schorbeekstraat,Schoorbeek Straete 
Schorbeekstraat,Straete loopende van Sterre naer de Schorbeke 
Schorbeekstraat,Schorbekestraet of  bis 
Steertstraat,Korte Molenweg of   
Sterrebergstraat,Veldweg 
Sterrestraat,
Talpenhoekstraat,Boute's Weg of   
Talpenhoekstraat,Tolpenhoekstraat 
Torkonjestraat,Strate van Tourquonje naer Cortryck 
Torkonjestraat,Straete van Clytgat naer Boondrieschmeulen 
Torkonjestraat,Populierstraete 
Torkonjestraat,Popelierstraete 
Torkonjestraat,Chemin de Aelbeke à Courtrai nommé de Popelierstraete 
Torkonjestraat,Steenweg 
Vijfwegen,Toekomststraat
Vinkenstraat,
Vondelstraat,
Wolverijdreef,Wolfstraete of   
Zevekotestraat,Molenweg of   
Woonwagen,
Aardweg,
Abdijmolenweg,Molenweg 
Abdijmolenweg,Kleine Molenvoetweg Molenweg 
Abdijweg,
Abdis Agnesstraat,
Abdis Erkastraat,
André Demedtslaan,
Andreas Vesaliusstraat,
Apollostraat,
Arenastraat,
Baliestraat,
Barend van Orleystraat,Zie ook Barend van Orlystraat 
Baron J. de Bethunestraat,
Beginnestraat,Van Popelierstraete naer den Meulen 
Beginnestraat,Straete van den Wulfsnock naer den Boondriesch 
Beginnestraat,Begijnestraat  of   
Bergstraat,RollegemstraatRollegemsestraat
Bindersstraat,
Blauwbloemstraat,
Blauwhuisstraat,
Boondriesstraat,
Boothamersstraat,
Brakelstraat,
Brandelweg,Brandelvoetweg of   
Brandelweg,MiddenwegDe weg naar de zwarte gevel
Broeders Van Dalestraat,Jozef Van Dalestraat
Bruyningpad,
Bruyningstraat,
Busschaertstraat,
Cannaertstraat,Kannaertstraat
Cisterciënzerplein,
Cornelusweg,
Cyriel Buyssestraat,
Cyriel Vandermeerschstraat,
Cyriel Verschaevestraat,
Debrabanderestraat,
Deken Debopad,Dirk Martensweg 
Deken Debopad,Dirk MartenslaanDirk Martensvoetweg
Diagorasstraat,
Dirk Boutsstraat,Antoon Van Duyckstraat 
Doenaertpad,
Doenaertstraat,
Dorreberkstraat,
Dokter Vannestestraat,Dr. Arthur Vannestestraat 
Drijversstraat,
Druartstraat,
Edward Vermeulenstraat ,
Engelse Wandeling,
Erasmusvoetweg,
Ernest Dewittestraat,
Felix Timmermansstraat,
Flandrinastraat,
Geeraard Mercatorstraat,
Gerard Davidstraat,David Teniersstraat 
Gladiatorenstraat,Tolenaersdreve 
Gladiatorenstraat,Tollenaarsstraat 
Groeningebosstraat,Groeningestraat 
Groeningebosstraat,Schaapsdreef 
Groningerstraat,
Gymnasiastraat,Gimnasiastraat 
Halewainstraat,Hallewainstuk 
Hans Memlingstraat,
Hekelstraat,
Hektor Casteleinstraat,Joris Van Severenstraat 
Hellestraat,D'Hellestraete 
Hellestraat,Strate loopende van de Oude Smisse Naer de Plaets 
Hellestraat,opgesplitst in Kloosterstraat en Hellestraat 
Hemelrijkstraat,
Herelstraat,
Hermelijnstraat,Ijzerweglaan 
Hermelijnstraat,Spoorweglaan 
Hippensstraat,
Hospitaalweg,Oversteekweg of  Overzetweg 
Hullekenstraat,
Jakob Jordaensstraat,
Jan Gossaertstraat,
Jan Van Eyckstraat,
Jeronimus Boschstraat,
Joanna V. Konstantinopelstraat,
Kaardersstraat,
Kalvariestraat,Vagevuurstraat  of   
Kalvariestraat,Klokkestraat 
Kanunnikenstraat,Kapittelstraat
Karbeelstraat,
Kardinaalstraat,Straete van Cortricke naer Aelbeke 
Kardinaalstraat,Straete lopende van de oude smisse naer Povere Leute 
Kardinaalstraat,Watervalstraet  of   
Karel Vandewoestijnestraat ,
Karel van Manderstraat,Pieter Paul Rubensstraat 
Kasteeldreef,
Keiweg,Puttevynstraetken 
Keiweg,Keistraat of   
Keizerstraat ,Wulfcnockstrate 
Keizerstraat ,Van Boondriesch naer Populierstraete 
Keizerstraat ,Straete naer den Wulfscnock 
Keizerstraat ,Heirstraete naer Marcke Plaetse 
Keizerstraat ,Vagevuurstraat  of   
Keizerstraat ,Keizerstraat 
Keizerstraat , - Zuidelijk deel
Klarenhoek,Canton appelé den Claerenhouck 
Kleine Marktstraat,
Kleine Pontestraat,Straete naer Marckebeek 
Kleine Pontestraat,  
Kloosterstraat,Straete loopende van de Oude Smisse naer de plaets 
Kloosterstraat,Hellestraat  of   
Koedreef,Avenue de l'Hopital 
Koedreef,Kleine Statiestraat 
Koedreef,Kleine Stationsstraat 
Kokuitplein ,
Kraaipoelstraat,
Kristoffel Plantijnstraat,
Lampestraat),Kreupelstraat  of   
Lampestraat),Lantestraat 
Lampestraat),"Louingenstraat , later Luignestraat "
Lampestraat),Sint - Annastraat 
Leempijpstraat,
Leerbergestraat,
Leieweg,
Lemenstraat,
Lieven Bauwensplein,
Lijnzaadstraat,
Lindestuk,Lindestraat 
Loppinstraat,
Marathonweg,
Marionetten,Wallestraete 
Marionetten,Rolleghemsche Kalsijde of  bis 
Marionetten,Wallestraat
Markebekepad,
Markebekestraat,Tholstraete commende van de stadt Cortryck naer de herberghe den Slabbaert 
Markebekestraat,Dronkaertstraat of Herstraet 
Markebekestraat,Kortrijkstraat  
Markebekestraat,Rekkemstraat 
Markebekestraat,Pastoor Slossestraat 
Markebekestraat,Kortrijksestraat 
Markebekestraat, met groot verkeer nr. 
Markekerkstraat,De Dreve 
Markekerkstraat,Kerkdreve of   
Markekerkstraat,Kerkstraat 
Markeplaats,Plaetse van Marcke 
Markeplaats,Plaetse 
Markeplaats,PlaatsMarktplein 
Marktstraat,Straete van Marcke 
Marktstraat,Craeypoelstraete leedende naer den herberg den Slabbaert 
Marktstraat,Straete loopende van de Plaetse naer de herberg den SlabbaertCraeypoelstraete of Craeypuulstraete 
Marktstraat,Marckestraet 
Michel Vandewielestraat,Statiestraat 
Michel Vandewielestraat,Stationstraat 
Monseigneur Callewaertstr.,
Moteweg,
Normanderstraat,
O.-L.-V.-ten-Spiegelestraat,
Olympiadeplein,
Oude Bergstraat,Groenestraat of   
Overzetweg,Bisseghemstraat 
Overzetweg,Bissegemsestraat
Pastoor Slossestraat,
Pastoor Vandommeledreef,Pastorijdreef
Pater Omer Devosstraat,
Pater Vandersteenestraat,
Patriottenplein,
Pestelstraat,
Pieter Breughelstraat,
Pieter Casierstraat,
Pieter Couckstraat,
Pieter Vandeghinstestraat,Peter Benoitstraat 
Pontestraat,Pontenierstraetjen 
Pontestraat,Pontestraete 
Pontestraat,Pontestraat of   
Poortersstraat,
Pottelberg,Strate van Tourcoing 
Pottelberg,Route vers Lille 
Pottelberg,Pottelbergstraat 
Praterieplein,
Preshoekstraat,Strate nar ' t Goet te Nieuwenhove 
Preshoekstraat,Straete van Marcke naer tGoet te Nieuwenhove 
Preshoekstraat,Straet loopende van de Plaets naer ' t Goet te Tollenaers 
Preshoekstraat,Preshouckstraat 
Preshoekstraat,Preshouckstraat of   
President Kennedylaan,
Priester Socquetstraat,E.H. Louis Soquetstraat 
Putmeersstraat,
Rekkemsestraat,Herstrate of Straete van Cortryck nar Ryssel 
Rekkemsestraat,Chemin du Droncart 
Rekkemsestraat,Groote Straete naer Ryssel 
Rekkemsestraat,Erwegh loopende van Curtryck naer Maercke 
Rekkemsestraat,Haerde weg van Cortrick naer Rissel 
Rekkemsestraat,Chemin nommé le Dronkaert 
Rekkemsestraat,Dronkaertstraet of Herstraet  of   
Rekkemsestraat,Reckemstraat 
Rekkemsestraat,Rekkemstraat
Repelstraat,
Rode Dreef,
Rodenburgplein,
Rodenburgstraat,Gravin Beatrijsstraat Aalbekestraat 
Rodenburgstraat, 
Roestaartplein,
Roodhuisplein,
Rootland,Rene Declercqstraat 
Rootmeersstraat,
Sint-Anna,
Sint-Annastraat,Sint - Annestraat of   
Slekkestraat,
Slijtersstraat,
Smokkelpotstraat,Straetkin ven de Leerberchboom naer de populierbusschen 
Smokkelpotstraat,Smokkelpotstraete 
Smokkelpotstraat,Rollegemstraat of   
Smokkelpotstraat,Rollegemsestraat 
Spartacusstraat,
Sperlekestraat,
Spinnersstraat,Brandelvoetweg of   
Steertstraat,Markesteertstraetjen of   
Ter Duinenstraat,
Tiendenbosplein,
Talpenhoekstraat,Calvarieweg of   
Tonnezaadstraat,
Torkonjestraat,Pottelbergstraat en Toerkonjestraat 
Vagevuurstraat,Straete naer den BoondrieschStraetken commende vande Plaetse te Marcke naer den Boondriesch 
Vagevuurstraat,Vagevuurstraat of   
Van Belleghemdreef,De Dreve 
Vannestes Molenstraat,Van Neste Molenstraat of   
Vannestes Molenstraat,Molenstraat 
Veltenstraat,
Verstraat,Ste Anne Wegeling of  Kleine Ste Annevoetweg 
Vlashekkenstraat,
Vlaskapelletjesstraat,Kapellekenstraat 
Vlasvezelstraat,
Vuurkotstraat,
Watervalstraat,Watervalstraete 
Watervalstraat,Straet loopende van de herberg Povere Leute naer de Watervalle 
Watervalstraat,Watervalstraet 
Willem Denyslaan,
Willem Putmanstraat,Albrecht Rodenbachstraat
Witte Bloemstraat,
Wolverijdreef,
Wouterstraat,
Zeusstraat,
Zwingelmolenstraat,Zwingelstraat 
Zwinstraat,Zwynstraete 
Zwinstraat,Zwijnstraetjen of   
Zwinstraat,Zwijnstraat
Buxram,
Doornikserijksweg,Kortrijkstraat
Dottenijseweg,Chemin de Dottignies of    
Dottenijseweg,Dottenijsweg
Driehoven,Chemin des trois fermes of   
Driehoven,Maagdestraat deel
Geitenbergstraat ,Gentenberg of Gyptenberg of   
Graaf d'Huststraat,Chemin du Brule of  
Graaf d'Huststraat,Nieuwstraat 
Hoogplaatsstraat,Ouden Heirweg 
Hoogplaatsstraat,Groenestraat 
Kazernestraat,Chemin de la Planche d'Espierre 
Kazernestraat,Beekstraat 
Koninklijkestraat,Dreve van het Kasteel naer de Kercke 
Koninklijkestraat,Drève du Chateau of   
Koninklijkestraat, Chasse 
Koninklijkestraat,Koningstraat 
Kooigembosstraat,Boschweg of   
Kooigembosstraat,Bosstraat
Kooigemplaats,
Kooigemsestraat,Sint - Denijsstraat 
Landweg,Kerkweg of  
Lentewijk,
Maagdestraat,Maegdestraete 
Maagdestraat, Vierge of   
Molentjesstraat,Maagdelijnestraet of  Pucelle 
Molentjesstraat,Maagdenstraat of   
Molentjesstraat,Molenstraat 
Oude Pastorijstraat,Kerkweg of   
Ronsevaalstraat,Ronchevaelstraete 
Ronsevaalstraat,Rondpaardstraat of  Rond Cheval 
Sarpeweg,Vannestesweg of   
Ten Walledreef,Wallestraat of   
Ten Walledreef,Geitenbergstraat 
Tontestraat, t Tontestraetken dat loopt uut de herstraete naer de Clytberch 
Tontestraat,Tontestraat of   
Uilbosstraat, Uylbosch 
Uilbosstraat,  Uylboschstraet of Voetweg  
Verloren Hof,Nieuwstraat of   
Verloren Hof,Chemin dit Geitenbergstraat
Woonwagen,
Akkerwindestraat,
Beukenstraat,
Bissegemplaats,PlaatsDorpsplein
Bissegemsestraat,Cleene YperstraeteCleene Yperwegh of  deel in Heule werd in  Cleene Iperstraete en in  Yprestraetjen of Ezelstraetevanaf  BissegemstraatIepersestraat 
Bissegemsestraat,Peter Benoitlaan 
Blauwvoetlaan,Albrecht Rodenbachlaan 
Blekerijstraat,
Brouwerijstraat,
Burg.H.De Backerestraat,Burgemeester de Backerestraat
Burg.J.Nuyttensstraat,
Burg.Thiersstraat,
Burg.Vantommestraat,Lindenstraat 
Coolsaetstraat,Nieuwe verkaveling Guilbert Nolf
Daliastraat,Dahliastraat 
Dappaardstraat,Kleine Ieperstraat  
Dappaardstraat,Cleene Iperstraete 
Dappaardstraat,Ieperstraat 
Dappaardstraat,Moorselestraat 
Debustraat,
Dokter Dumortierlaan,Eikenlaan 
Donderbaardstraat,
Doornappelstraat,
Dotterbloemstraat,
Driekerkenstraat,Kerkstraete 
Driekerkenstraat,Kerkstraat of  
Duivekotestraat,Kapellestraat 
Eglantierstraat,Rozenstraat 
Essenstraat,
Gerbodelaan,Oudstrijderslaan 
Ghellinckdreef,Populierendreef 
Gullegemsesteenweg,Straete leedende naer Gulleghemplaetse 
Gullegemsesteenweg,Gulleghemstraet autrefois dit Plas of  Gulleghemsteenweg 
Gullegemsesteenweg,Gulleghemstraat 
Gullegemsesteenweg,Statiestraat 
Gullegemsesteenweg,Stationstraat
Hendrik Dewildestraat,Schoolstraat 
Hendrik Dewildestraat,Remi Vermandelestraat 
Heulsestraat,Straetken vanden Cransvijver nar Bisseghem 
Heulsestraat,Straete leedende van de Neerbeke naer den Losschaert 
Heulsestraat,Heulestraet of  
Hoefbladstraat,
Hoogweg,Kerckenvoetwegh 
Hoogweg,Hoogwegelken of  
Jan Devosstraat,
Jan van Renessestraat,
Jozef Verhaeghestraat,
Kamiel Verlindestraat,Camiel Verlindestraat 
Kanunnik Hespelplein,
Kardinaal Cardijnplein,
Kersouwpad,Kersouwepad 
Kerkvoetweg,Kerkweg of  Kerkvoetweg 
Kerkvoetweg,Vredelaan 
Kerkvoetweg, tot 
Kerselarenstraat,
Klaproospad ,
Kleine Bissegemstraat,
Klokjesbloempad,
Koffiehoekstraat,
Koningin Astridlaan,
Kortrijksevoetweg,Wagenweg 
Kortrijksevoetweg,Martweg of  
Kruiskouter,Veldweg 
Kruiskouter,Veldstraat
Kwade Dries,
Lavendelpad,
Leeuwebekstraat,
Lisbloemstraat,
Lisdoddestraat,Olmenstraat 
Marentakpad,
Masurestraat,Wilgenstraat 
Meensesteenweg,Straete naer Menene 
Meensesteenweg,Heerstraete die gaet van Cortryck naer Meenen 
Meensesteenweg,Steenwegh van Meenen naer Cortryck 
Meensesteenweg,Menensteenweg 
Meensesteenweg,Vroeger rijksweg nr.  Brussel - Duinkerke
Moorseelsestraat,Straete alsoemen gaet te Morsele waert 
Moorseelsestraat,Heerstraete die gaet van Cortryck naer Ipre 
Moorseelsestraat,Straete van Cortryck naer Yper 
Moorseelsestraat,Straete van den Losschaert 
Moorseelsestraat,Straete van Cortryck naer Ipren 
Moorseelsestraat,Straete leedende van de Cleene Ieperstraete naer Cransvijver ende den Losschaert 
Moorseelsestraat,Chemin vinical à Mooselestraat dite d'Oude Iperstrate 
Moorseelsestraat,Chemin de Terre à Gulleghem 
Moorseelsestraat,Kortrijkstraat of   
Moorseelsestraat, - Wandelweg 
Moravie,
Neerbeekstraat,Leiestraat 
Oliemolenstraat,Meersstraat
Oude Gullegemsestraat,Straete leedende naer Gulleghemplaetse 
Oude Gullegemsestraat,Gullegemstraet autrefois dit Plas of   
Pastoor Benaultstraat,
Pastoor Diericklaan,A. De Tayelaan 
Pastoor Sterckstraat,Markestraat
Pastoriekouter,Elfde Julilaan 
Pater Bossuytstraat,Tulpenstraat 
Peperleenstraat,Toekomststraat
Pijnappelstraat,Spoorweglaan 
Pioenpad,
Pyfferoenstraat,Jagerstraat  of   
Ranonkelstraat ,
Remi Vermandelestraat,
Rietput,
Rijmsnoerstraat,Kleine Ieperstraat of   
Rijmsnoerstraat,Guido Gezellestraat
Rootputstraat,Roterijstraat 
Rozemarijnstraat,
Schoonwaterstraat,
Serafijn Vermotelaan,Rubenslaan 
Sint-Omaarsstraat,
Spijkerstraat,
Steurenambachtstraat,
Tientjesstraat,
Trakelweg,
Tuinwijklaan,
Varenstraat,
Vlaswaagplein,StatieplaatsStationsplein
Vrije-Aardstraat,
Waterhoennest,Jagerstraetjen 
Waterhoennest,Marktweg of   
Waterhoennest,Jagerstraat of   
Waterhoennest,Jagerstraat
Waterkerspad,
Wevelgemse Voetweg,Kerkweg of   
Wulverikstraat,Molenweg of   
Wulverikstraat,Molenstraat
Zilverberkenlaan,Berkenlaan 
Zilverschoon,
Zonnekestraat,Straetken Ter Biest 
Zonnekestraat,Ezelstraat of   
Zonnekestraat,Hugo Verriestlaan 
Zuster Parmentierstraat,Nieuwstraat 
Zuster Parmentierstraat,Dweersstraat 
Aardbeziënstraat,Herbeziestraet 
Aardbeziënstraat,  
Aardbeziënstraat,Verlorenstraat 
Aardbeziënstraat,Groenestraat 
Abeeldreef,
Albrecht Rodenbachlaan),
Antoon Van Liedekerkeweg,Warande 
Antoon Van Liedekerkeweg,Warandedreef  of   
Antoon Van Liedekerkeweg,De Clercks Reke 
Antoon Van Liedekerkeweg,Declerckstraat -Loodwitstraat 
Antoon Van Liedekerkeweg,Loodwitreke 
Beiaardstraat,Beyaertstrate 
Beiaardstraat,Raeckestraete 
Beiaardstraat,Beyhaertstraete 
Beiaardstraat,Wittestraat 
Bissegemsestraat,Cleene Iperstraete 
Bissegemsestraat,Yperstraetjen 
Bissegemsestraat,Ezelstraete 
Bissegemsestraat,Kleine Yperstraet of   
Bissegemsestraat,Bissegemstraat 
Blauwpoort,
Bozestraat,Muelestraetkin 
Bozestraat,Boosestraetjen 
Bozestraat,Boozestraete 
Bozestraat, 
Burg. Cattebekestraat,
Disgracht,
Dwarsweg,
Emiel Hullebroecklaan,
Esdoorn,
Gemeenhof,Gemeenhofstraat of  Gemeen Hofstraat 
Goethalslaan,
Groene-Boomgaard,Gemeenhofboschweg of   
Groene-Boomgaard,Marelboschweg of   
Groene-Boomgaard,Groene Boomgaardstraat 
Groenestraat,GroenstraetjeGroenstraat 
Grysperrestraat,Verlorenstraat 
Guido Gezellelaan,
Gullegemsestraat,Gulleghemkouter of  
Gullegemsestraat,Kalsijde van Gulleghem 
Gullegemsestraat,Gullegemstraat 
Hemelweg,
Herfsttij,
Heulebosstraat,Bosstraat 
Heuleplaats,Heule Plaetse of Plaetse van Heule 
Heuleplaats,Plaats
Heulsekasteelstraat,Kasteelstraat 
Hoge Dreef,  
Hoogweide,
Ieperstuk,
Industrielaan,
Izegemsestraat,Bruxschen Wech 
Izegemsestraat,de Herstraete alsoe men gaet te Yseghem waert 
Izegemsestraat,Straete van Cortryck naer Brugghe 
Izegemsestraat,Herstraete naer Brugghe of Tolstraete 
Izegemsestraat,Straete van Cortryck naer Yseghem 
Izegemsestraat,d'Oude herbane naer Brugge 
Izegemsestraat,Straete van Cortryck naer Heule Waeter-meulens 
Izegemsestraat,Roockerstraete leedende van Cortryck naer Iseghem 
